a1,a2,b1,b2,a_rating,commonness,definiteness,domain,difficulty
tired,sleep,thirsty,drink,5.0,Common,Definite,Intra-domain,easy
tired,sleep,sad,cry,4.7,Common,Definite,Intra-domain,easy
tired,sleep,hungry,eat,4.6,Common,Indefinite,Intra-domain,easy
tired,sleep,fresh,work,3.6,Common,Indefinite,Intra-domain,easy
tired,sleep,lazy,couch,3.0,Common,Indefinite,Intra-domain,easy
tired,sleep,bored,read,2.6,Common,Indefinite,Intra-domain,easy
tired,sleep,happy,sit,1.2,Common,Indefinite,Intra-domain,easy
lifejacket,boat,belt,car,5.0,Common,Definite,Intra-domain,medium
lifejacket,boat,seatbelt,airplane,5.0,Common,Indefinite,Intra-domain,medium
lifejacket,boat,airbag,car,4.6,Common,Indefinite,Intra-domain,medium
lifejacket,boat,parachute,airplane,4.5,Common,Definite,Intra-domain,medium
lifejacket,boat,helmet,bike,3.0,Common,Indefinite,Intra-domain,medium
lifejacket,boat,jacket,rocket,2.0,Common,Indefinite,Cross-domain,medium
lifejacket,boat,cap,cruise,1.2,Common,Indefinite,Cross-domain,medium
ovaries,estrogen,pancreas,insulin,5.0,Unc,Indefinite,Intra-domain,advanced
ovaries,estrogen,testes,testosterone,4.8,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,salivary,saliva,4.8,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,sebacious,sebum,3.0,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,sweat,estrogen,2.6,Unc,Indefinite,Cross-domain,advanced
ovaries,estrogen,pituitory,sperm,1.0,Unc,Definite,Intra-domain,advanced
apollo,music,ares,war,5.0,Unc,Definite,Intra-domain,advanced
apollo,music,poseidon,water,4.4,Unc,Definite,Intra-domain,advanced
apollo,music,athena,intelligence,4.0,Unc,Definite,Intra-domain,advanced
apollo,music,hades,hell,3.8,Common,Definite,Intra-domain,advanced
apollo,music,artemis,children,2.0,Unc,Definite,Intra-domain,advanced
apollo,music,hera,travel,1.0,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,mahabharat,mythology,5.0,Unc,Definite,Intra-domain,advanced
bloodline,mystery,hobbit,fantasy,4.4,Unc,Definite,Intra-domain,advanced
bloodline,mystery,hobbit,romance,3.6,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,eragon,fantasy,3.3,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,alchemist,history,2.8,Common,Definite,Cross-domain,advanced
bloodline,mystery,twilight,biography,1.0,Common,Indefinite,Intra-domain,advanced
antony,cleopatra,othello,desdemona,5.0,Unc,Definite,Intra-domain,advanced
antony,cleopatra,oberon,titania,5.0,Unc,Definite,Intra-domain,advanced
antony,cleopatra,hamlet,ophelia,4.8,Common,Definite,Intra-domain,advanced
antony,cleopatra,romeo,juliet,4.5,Common,Definite,Intra-domain,advanced
antony,cleopatra,macbeth,banquo,3.2,Common,Definite,Intra-domain,advanced
antony,cleopatra,shakespeare,juliet,1.5,Common,Definite,Cross-domain,advanced
red,green,yellow,violet,5.0,Common,Definite,Intra-domain,advanced
red,green,blue,orange,4.8,Common,Indefinite,Intra-domain,advanced
red,green,black,white,4.4,Common,Indefinite,Intra-domain,advanced
red,green,purple,brown,3.2,Common,Indefinite,Intra-domain,advanced
red,green,pink,grey,1.0,Common,Indefinite,Intra-domain,advanced
chlorophyll,green,lycopene,red,5.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,beta-carotene,orange,5.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,lutein,yellow,4.57,Unc,Definite,Intra-domain,advanced
chlorophyll,green,anthocyanin,purple,4.4,Unc,Definite,Intra-domain,advanced
chlorophyll,green,melanin,blue,2.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,betalains,black,1.0,Unc,Definite,Intra-domain,advanced
volta,battery,galileo,telescope,5.0,Unc,Definite,Intra-domain,hard
volta,battery,edison,bulb,5.0,Common,Definite,Intra-domain,hard
volta,battery,baird,television,4.8,Unc,Definite,Intra-domain,hard
volta,battery,goodyear,rubber,4.6,Common,Definite,Cross-domain,hard
volta,battery,einstein,tube,3.4,Unc,Definite,Intra-domain,hard
volta,battery,newton,fan,2.0,Unc,Definite,Intra-domain,hard
volta,battery,raman,rain,1.2,Unc,Indefinite,Cross-domain,hard
einstein,relativity,newton,gravity,5.0,Common,Definite,Intra-domain,hard
einstein,relativity,dalton,atom,4.8,Unc,Definite,Intra-domain,hard
einstein,relativity,bohr,electron,4.55,Unc,Definite,Intra-domain,hard
einstein,relativity,darwin,evolution,4.0,Unc,Definite,Intra-domain,hard
einstein,relativity,edison,tubelight,2.0,Unc,Definite,Intra-domain,hard
einstein,relativity,volta,voltage,1.0,Common,Definite,Intra-domain,hard
head,helmet,gun,latch,5.0,Common,Indefinite,Cross-domain,medium
head,helmet,disease,vaccine,5.0,Common,Indefinite,Cross-domain,medium
head,helmet,suitcase,lock,4.6,Common,Indefinite,Intra-domain,medium
head,helmet,account,password,4.2,Common,Definite,Cross-domain,medium
head,helmet,door,bolt,4.0,Common,Definite,Cross-domain,medium
head,helmet,bottle,cap,3.0,Common,Definite,Intra-domain,medium
head,helmet,pen,box,1.2,Common,Indefinite,Cross-domain,medium
flowers,vase,ashes,urn,5.0,Common,Definite,Intra-domain,medium
flowers,vase,medicine,vial,4.8,Common,Indefinite,Cross-domain,medium
flowers,vase,water,bottle,4.6,Common,Definite,Intra-domain,medium
flowers,vase,jam,jar,4.4,Common,Definite,Cross-domain,medium
flowers,vase,bodies,morgue,4.2,Common,Definite,Intra-domain,medium
flowers,vase,tea,bag,2.0,Common,Definite,Cross-domain,medium
flowers,vase,spoon,hanger,1.0,Common,Indefinite,Cross-domain,medium
leg,crutch,canvas,easel,5.0,Common,Definite,Intra-domain,medium
leg,crutch,camera,tripod,4.4,Common,Indefinite,Cross-domain,medium
leg,crutch,sail,mast,4.0,Common,Indefinite,Cross-domain,medium
leg,crutch,bulb,lamp,3.2,Common,Indefinite,Cross-domain,medium
leg,crutch,clothes,clothespin,3.0,Common,Indefinite,Cross-domain,medium
leg,crutch,plate,cover,1.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,tanker,bottle,5.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,shovel,spoon,4.6,Common,Indefinite,Cross-domain,medium
stairs,ladder,barrel,bottle,3.8,Common,Indefinite,Cross-domain,medium
stairs,ladder,sea,lake,3.2,Common,Indefinite,Cross-domain,medium
stairs,ladder,sky,ceiling,3.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,mountain,hill,2.8,Common,Indefinite,Cross-domain,medium
stairs,ladder,pipe,pistol,1.0,Common,Indefinite,Cross-domain,medium
dim,light,fade,colour,5.0,Common,Definite,Intra-domain,medium
dim,light,decline,health,4.8,Common,Indefinite,Cross-domain,medium
dim,light,debit,balance,4.6,Common,Definite,Cross-domain,medium
dim,light,melt,density,3.0,Common,Indefinite,Cross-domain,medium
dim,light,decrease,pressure,3.0,Common,Indefinite,Intra-domain,medium
dim,light,elongate,heat,1.8,Common,Definite,Cross-domain,medium
dim,light,darken,odor,1.0,Common,Definite,Cross-domain,medium
window,curtain,face,veil,5.0,Common,Indefinite,Cross-domain,medium
window,curtain,body,clothes,4.8,Common,Definite,Cross-domain,medium
window,curtain,head,hood,4.0,Common,Indefinite,Cross-domain,medium
window,curtain,bed,sheet,3.0,Common,Definite,Cross-domain,medium
window,curtain,pillow,pillowcase,3.0,Common,Definite,Cross-domain,medium
window,curtain,bottle,cover,1.8,Common,Indefinite,Cross-domain,medium
mobile,battery,body,heart,5.0,Common,Indefinite,Cross-domain,advanced
mobile,battery,automobile,engine,4.8,Common,Definite,Cross-domain,advanced
mobile,battery,computer,cpu,4.0,Common,Definite,Intra-domain,advanced
mobile,battery,atom,nucleus,3.2,Common,Indefinite,Cross-domain,advanced
mobile,battery,door,handle,3.0,Common,Indefinite,Cross-domain,advanced
