id,challange,difficulty
0,lull :: trust,advanced
1,swarm :: bee,medium
2,obtain :: steal,advanced
3,inadvertent :: thought,hard
4,parsimony :: philanthropy,advanced
5,devotion :: obsession,hard
6,bequest :: heir,medium
7,prosaic :: epic,hard
8,corroded :: alloy,hard
9,depose :: king,hard
10,gauche :: adroit,medium
11,archeology :: science,hard
12,apprehensive :: petrified,hard
13,stay :: depart,easy
14,stammer :: speech,hard
15,corpulence :: obesity,hard
16,callow :: experience,advanced
17,indolent :: assiduous,medium
18,strident :: sound,hard
19,rehearsal :: impromptu,hard
20,lynch :: execute,hard
21,fathom :: depth,advanced
22,audible :: blaring,medium
23,insubordination :: punishment,medium
24,enthusiast :: fervor,medium
25,novice :: experience,medium
26,talisman :: charm,advanced
27,progenitor :: descendant,easy
28,dearth :: abundance,hard
29,eminence :: infamy,advanced
30,vivid :: lurid,advanced
31,caprice :: predictable,hard
32,precarious :: stability,hard
33,quack :: doctor,medium
34,hapless :: lucky,hard
35,acquit :: charge,advanced
36,judicious :: prudence,advanced
37,lethargic :: energy,advanced
38,elastic :: flexible,easy
39,unnerve :: composure,easy
40,overexertion :: fatigue,hard
41,encourage :: coerce,hard
42,bungler :: finesse,hard
43,drapery :: fabric,medium
44,best :: seller,easy
45,excitement :: frenzy,medium
46,magnify :: appearance,medium
47,pedestrian :: walks,medium
48,song :: repertoire,hard
49,courier :: message,easy
50,crumb :: bread,medium
51,overcoat :: warmth,medium
52,immaculate :: clean,medium
53,scene :: act,medium
54,traffic :: street,hard
55,mortar :: brick,medium
56,avenge :: wrong,hard
57,arboretum :: botanical,medium
58,fame :: celebrity,medium
59,squall :: wind,advanced
60,frighten :: skittish,hard
61,puppeteer :: marionette,hard
62,pallid :: color,hard
63,scapegoat :: blame,easy
64,atrophy :: withered,hard
65,adult :: child,easy
66,mansion :: residence,easy
67,envelope :: letter,medium
68,choreography :: dance,hard
69,overdose :: prescription,advanced
70,evaporate :: vapor,hard
71,mercenary :: money,advanced
72,drift :: move,advanced
73,hammer :: anvil,hard
74,numb :: insensible,advanced
75,exorbitant :: moderation,hard
76,troubled :: distraught,advanced
77,vertigo :: dizzy,hard
78,indigenous :: native,easy
79,palatable :: toothsome,hard
80,paint :: canvas,advanced
81,seedy :: elegant,advanced
82,bungalow :: domicile,medium
83,devour :: consume,advanced
84,tentacle :: octopus,easy
85,submit :: subordinate,advanced
86,beagle :: dog,easy
87,indigence :: opulence,hard
88,mentor :: guide,medium
89,haiku :: poem,easy
90,dynamic :: static,hard
91,sword :: sheath,easy
92,paleontologist :: tyrannosaurus,medium
93,food :: hunger,advanced
94,crowbar :: pry,medium
95,ream :: paper,hard
96,fond :: doting,hard
97,eagle :: bird,easy
98,worry :: panic,easy
99,birds :: wings,hard
100,pebble :: rock,medium
101,livid :: angry,medium
102,saunter :: walk,medium
103,word :: language,easy
104,alligator :: reptile,easy
105,cherry :: fruit,medium
106,oxygen :: gas,easy
107,shallow :: depth,medium
108,amorphous :: shape,hard
109,scissors :: cut,advanced
110,glue :: fasten,hard
111,ornament :: embellish,medium
112,reprehensible :: condemn,hard
113,quart :: volume,medium
114,smile :: happiness,medium
115,flowers :: florist,easy
116,hoard :: save,easy
117,playwright :: actor,easy
118,building :: blueprint,easy
119,antiseptic :: germs,medium
120,sluggish :: energy,easy
121,library :: book,medium
122,move :: scurry,medium
123,iron :: metal,medium
124,emigrate :: country,medium
125,injurious :: harm,hard
126,omnipotent :: power,hard
127,temper :: extreme,hard
128,caricature :: drawing,medium
129,incorrigible :: reformed,advanced
130,propagandize :: principles,hard
131,loathsome :: contempt,hard
132,neophyte :: experienced,hard
133,hostile :: bellicose,advanced
134,abrasive :: skin,hard
135,bus :: passengers,medium
136,glaze :: pottery,hard
137,burnish :: metal,hard
138,promontory :: view,hard
139,amalgam :: metals,hard
140,verification :: confirm,advanced
141,mechanical :: garage,advanced
142,sap :: tree,medium
143,repeal :: law,medium
144,epilogue :: play,hard
145,canal :: waterway,medium
146,treason :: country,easy
147,territory :: delegate,advanced
148,inquisitorial :: curiosity,advanced
149,vulnerable :: hurt,advanced
150,prevarication :: statement,advanced
151,abbreviation :: word,medium
152,patent :: obvious,easy
153,mundane :: novel,advanced
154,criticize :: censorious,hard
155,lame :: mobility,hard
156,bankruptcy :: money,medium
157,asteroid :: planet,advanced
158,embargo :: trade,advanced
159,alteration :: suit,easy
160,resolute :: determination,medium
161,inaudible :: amplifier,easy
162,vacillate :: indecision,medium
163,pastiche :: writing,medium
164,simian :: ape,easy
165,levee :: flood,hard
166,foolhardy :: recklessness,hard
